sepal length,sepal width,petal length,y_real,y_pred_cv,erro_abs
4.9,3.1,1.5,0.1,0.2640239071780258,0.1640239071780258
4.8,3.0,1.4,0.1,0.22127791753894976,0.12127791753894976
5.7,3.8,1.7,0.3,0.32513817123006317,0.025138171230063178
5.1,3.8,1.5,0.3,0.2752771970666672,0.024722802933332788
5.4,3.4,1.5,0.4,0.26757228121504545,0.13242771878495457
5.5,3.5,1.3,0.2,0.2245925296237823,0.024592529623782278
5.6,2.9,3.6,1.3,1.0990971085578853,0.2009028914421147
6.2,2.2,4.5,1.5,1.2951544226786014,0.20484557732139863
6.1,2.8,4.7,1.2,1.544682075601101,0.3446820756011011
6.8,2.8,4.8,1.4,1.4475014194722584,0.0475014194722585
6.0,2.9,4.5,1.5,1.4828743179227672,0.01712568207723275
5.8,2.7,3.9,1.2,1.1715665130567192,0.02843348694328074
6.5,3.2,5.1,2.0,1.8994827233690619,0.10051727663093812
7.7,2.6,6.9,2.3,2.1220875734078875,0.17791242659211237
6.9,3.1,5.1,2.3,1.6927610079445767,0.6072389920554231
5.0,3.4,1.6,0.4,0.2877491756376509,0.11225082436234912
4.7,3.2,1.6,0.2,0.30479063053349664,0.10479063053349663
4.8,3.1,1.6,0.2,0.3033964067557726,0.10339640675577261
4.8,3.0,1.4,0.3,0.20296317845871037,0.09703682154128962
5.7,2.8,4.5,1.3,1.5196922662038843,0.21969226620388427
6.3,3.3,4.7,1.6,1.8061065256020759,0.20610652560207576
5.6,2.5,3.9,1.1,1.1846572694269972,0.08465726942699714
6.5,3.0,5.8,2.2,2.1803425397933456,0.019657460206654598
6.7,2.5,5.8,1.8,1.881762062682907,0.08176206268290698
6.1,3.0,4.9,1.8,1.685542806824703,0.11445719317529712
6.4,2.8,5.6,2.1,2.0198072783792154,0.08019272162078472
7.9,3.8,6.4,2.0,2.3569687530304524,0.3569687530304524
6.4,2.8,5.6,2.2,2.0198072783792154,0.1801927216207848
6.8,3.2,5.9,2.3,2.216021680494174,0.0839783195058259
6.7,3.0,5.2,2.3,1.7908726533953419,0.509127346604658
5.0,3.6,1.4,0.2,0.25837831638872805,0.058378316388728035
5.4,3.7,1.5,0.2,0.27838563540898004,0.07838563540898003
4.8,3.4,1.6,0.2,0.3441023347702897,0.14410233477028966
5.7,4.4,1.5,0.4,0.26384632143718123,0.1361536785628188
5.4,3.9,1.3,0.4,0.20169391657415464,0.19830608342584538
4.6,3.6,1.0,0.2,0.12361902423374738,0.07638097576625263
5.2,3.5,1.5,0.2,0.28769911171914075,0.08769911171914074
5.2,4.1,1.5,0.1,0.2868408980029038,0.1868408980029038
4.4,3.2,1.3,0.2,0.09678874951862865,0.10321125048137136
6.4,3.2,4.5,1.5,1.4795748731490954,0.020425126850904585
6.7,3.1,4.4,1.4,1.4572947472313316,0.057294747231331655
6.0,3.4,4.5,1.6,1.5962188687452343,0.003781131254765757
6.7,3.1,4.7,1.5,1.6076787443832172,0.10767874438321723
5.8,2.7,5.1,1.9,1.757345189656653,0.14265481034334693
6.3,2.5,5.0,1.9,1.5752247416058784,0.32477525839412147
5.1,3.5,1.4,0.2,0.2543851133539889,0.05438511335398888
5.2,3.4,1.4,0.2,0.2521833776127597,0.05218337761275971
5.0,3.5,1.3,0.3,0.22595264412010194,0.07404735587989805
5.1,3.8,1.9,0.4,0.4058104382645734,0.005810438264573392
5.0,2.0,3.5,1.0,0.9984953603270943,0.0015046396729057054
5.6,3.0,4.5,1.5,1.58759981123479,0.08759981123478999
5.8,2.7,4.1,1.0,1.2951524655415083,0.2951524655415083
6.6,3.0,4.4,1.4,1.363749604787901,0.03625039521209894
5.5,2.4,3.7,1.0,1.0899101166433203,0.08991011664332027
5.7,2.9,4.2,1.3,1.4019033414561868,0.10190334145618674
7.6,3.0,6.6,2.1,2.2180996458191444,0.11809964581914434
7.2,3.6,6.1,2.5,2.3184052842013454,0.1815947157986546
7.7,2.8,6.7,2.0,2.1621043606572705,0.16210436065727052
6.3,2.8,5.1,1.5,1.8500558707843027,0.35005587078430267
6.4,3.1,5.5,1.8,2.12973234991363,0.32973234991362976
5.1,3.3,1.7,0.5,0.3301440354969165,0.1698559645030835
4.8,3.4,1.9,0.2,0.4214733037246283,0.2214733037246283
5.0,3.0,1.6,0.2,0.3004076600498462,0.10040766004984619
5.5,4.2,1.4,0.2,0.2663526331880578,0.06635263318805779
5.1,3.4,1.5,0.2,0.28585506077104994,0.08585506077104993
4.6,3.2,1.4,0.2,0.19549207870181462,0.004507921298185391
6.0,2.2,4.0,1.0,1.097597831896321,0.0975978318963211
5.6,2.7,4.2,1.3,1.361378592410448,0.06137859241044796
5.7,3.0,4.2,1.2,1.4173493852511738,0.21734938525117387
6.2,2.9,4.3,1.3,1.3671563800147508,0.06715638001475077
5.8,2.7,5.1,1.9,1.7353449376863972,0.16465506231360272
5.7,2.5,5.0,2.0,1.6580651971417302,0.3419348028582698
7.7,3.8,6.7,2.2,2.606713617625669,0.4067136176256687
6.3,2.7,4.9,1.8,1.5743882628777395,0.22561173712226057
6.0,3.0,4.8,1.8,1.6428326110819187,0.15716738891808135
5.4,3.9,1.7,0.4,0.30632795303503907,0.09367204696496095
5.0,3.4,1.5,0.2,0.2559427058994546,0.0559427058994546
4.9,3.1,1.5,0.1,0.24915252216617356,0.14915252216617356
5.0,3.2,1.2,0.2,0.09409142770060452,0.10590857229939549
5.0,3.5,1.6,0.6,0.2734478343262389,0.32655216567376105
5.0,3.3,1.4,0.2,0.18958349292590582,0.010416507074094195
5.5,2.3,4.0,1.3,1.1971158708390255,0.10288412916097456
5.9,3.2,4.8,1.8,1.7099855069758676,0.09001449302413245
6.7,3.0,5.0,1.7,1.7102564219636727,0.010256421963672713
5.5,2.4,3.8,1.1,1.1202728177466912,0.020272817746691096
5.4,3.0,4.5,1.5,1.605146873275213,0.105146873275213
5.0,2.3,3.3,1.0,0.9385911309537023,0.06140886904629772
6.4,2.7,5.3,1.9,1.8300694705881948,0.06993052941180511
5.8,2.8,5.1,2.4,1.7895985540136463,0.6104014459863536
6.2,3.4,5.4,2.3,2.229929800862249,0.07007019913775103
4.6,3.1,1.5,0.2,0.21520831413305624,0.015208314133056233
4.4,2.9,1.4,0.2,0.19526594728301933,0.004734052716980686
4.3,3.0,1.1,0.1,0.16883553107323215,0.06883553107323215
5.1,3.5,1.4,0.3,0.2540336362578928,0.045966363742107164
4.4,3.0,1.3,0.2,0.189323734075231,0.010676265924769002
6.3,2.5,4.9,1.5,1.624196949318187,0.12419694931818692
6.0,2.7,5.1,1.6,1.822200162428687,0.2222001624286869
5.5,2.5,4.0,1.3,1.2598569225609144,0.04014307743908563
5.1,2.5,3.0,1.1,0.756255452150635,0.34374454784936503
6.0,2.2,5.0,1.5,1.7125444283465536,0.21254442834655363
6.9,3.2,5.7,2.3,2.0524515432293926,0.24754845677060722
7.2,3.2,6.0,1.8,2.0946068820540207,0.29460688205402064
6.1,2.6,5.6,1.4,2.0918706412818073,0.6918706412818074
7.7,3.0,6.1,2.3,1.8644728911145063,0.4355271088854935
6.3,3.4,5.6,2.4,2.3239505031905954,0.07604949680940454
4.7,3.2,1.3,0.2,0.13157884183186397,0.06842115816813604
4.6,3.4,1.4,0.3,0.13926046274212678,0.1607395372578732
5.1,3.8,1.6,0.2,0.3289799553644489,0.1289799553644489
7.0,3.2,4.7,1.4,1.4840180990902594,0.08401809909025948
6.5,2.8,4.6,1.5,1.4189006363605974,0.08109936363940262
5.2,2.7,3.9,1.4,1.2790922129474962,0.12090778705250371
5.9,3.0,4.2,1.5,1.3631537709965347,0.13684622900346533
6.1,2.9,4.7,1.4,1.5565795372435465,0.15657953724354656
5.7,2.6,3.5,1.0,0.9758615564444786,0.024138443555521416
6.3,3.3,6.0,2.5,2.4655216509156332,0.034478349084366755
6.8,3.0,5.5,2.1,1.9061585102613061,0.19384148973869397
6.4,3.2,5.3,2.3,2.02154312480304,0.2784568751969596
6.2,2.8,4.8,1.8,1.569669595072062,0.230330404927938
6.9,3.1,5.4,2.1,1.8537185101662594,0.24628148983374065
6.5,3.0,5.2,2.0,1.8576675777990856,0.14233242220091435
4.9,3.0,1.4,0.2,0.17695183631631717,0.023048163683682843
5.1,3.7,1.5,0.4,0.2539864615063585,0.14601353849364151
4.9,3.1,1.5,0.1,0.24503191464292673,0.14503191464292672
4.5,2.3,1.3,0.3,0.057497009154702794,0.2425029908452972
5.3,3.7,1.5,0.2,0.266301212653391,0.066301212653391
4.9,2.4,3.3,1.0,0.9935795306969324,0.006420469303067611
6.6,2.9,4.6,1.3,1.494756708051723,0.19475670805172296
5.6,3.0,4.1,1.3,1.3890288757140508,0.08902887571405071
5.5,2.6,4.4,1.2,1.4722256078441904,0.2722256078441905
6.1,3.0,4.6,1.4,1.5479230667297865,0.1479230667297866
7.3,2.9,6.3,1.8,2.150798807369817,0.35079880736981717
6.7,3.3,5.7,2.1,2.1657003641372805,0.06570036413728042
7.2,3.0,5.8,1.6,1.9530144758633434,0.35301447586334334
6.7,3.1,5.6,2.4,2.0501996033404044,0.3498003966595955
6.7,3.3,5.7,2.5,2.1657003641372805,0.3342996358627195
5.8,4.0,1.2,0.2,0.23988870216787306,0.03988870216787305
5.4,3.4,1.7,0.2,0.3440986238145072,0.14409862381450717
6.9,3.1,4.9,1.5,1.6224410409425873,0.12244104094258734
6.1,2.8,4.0,1.3,1.2126862168849821,0.08731378311501792
6.4,2.9,4.3,1.3,1.3336376286504072,0.0336376286504072
6.3,2.3,4.4,1.3,1.2736487716492892,0.026351228350710798
5.8,2.6,4.0,1.2,1.2123258390464033,0.012325839046403386
5.7,2.8,4.1,1.3,1.3124412972646555,0.012441297264655482
7.1,3.0,5.9,2.1,2.034880281660742,0.065119718339258
6.3,2.9,5.6,1.8,2.1586202523220632,0.3586202523220632
4.9,2.5,4.5,1.7,1.545648812865403,0.15435118713459706
6.5,3.0,5.5,1.8,2.0638762624599565,0.26387626245995643
5.6,2.8,4.9,2.0,1.7006049037121187,0.2993950962878813
7.4,2.8,6.1,1.9,1.942204159901958,0.04220415990195803
5.9,3.0,5.1,1.8,1.7947025433647095,0.005297456635290576
