sepal length,sepal width,petal length,petal width,y_pred,neuronio_id,classe_original
5.1,3.5,1.4,0.2,0.18745244952802753,4,Iris-setosa
4.9,3.0,1.4,0.2,0.21535429755948632,7,Iris-setosa
4.7,3.2,1.3,0.2,0.1888450310840677,6,Iris-setosa
4.6,3.1,1.5,0.2,0.20539215963162782,0,Iris-setosa
5.0,3.6,1.4,0.2,0.22096471614090218,4,Iris-setosa
5.4,3.9,1.7,0.4,0.39990005931167316,6,Iris-setosa
4.6,3.4,1.4,0.3,0.2972837803981545,6,Iris-setosa
5.0,3.4,1.5,0.2,0.19593033348668754,0,Iris-setosa
4.4,2.9,1.4,0.2,0.21244700724600152,4,Iris-setosa
4.9,3.1,1.5,0.1,0.10657078341632942,3,Iris-setosa
5.4,3.7,1.5,0.2,0.18646850734174714,0,Iris-setosa
4.8,3.4,1.6,0.2,0.17866750827737354,1,Iris-setosa
4.8,3.0,1.4,0.1,0.11414313028976397,1,Iris-setosa
4.3,3.0,1.1,0.1,0.08733856668262197,4,Iris-setosa
5.8,4.0,1.2,0.2,0.20556043163687643,9,Iris-setosa
5.7,4.4,1.5,0.4,0.3998538184806053,9,Iris-setosa
5.4,3.9,1.3,0.4,0.4589115583774679,10,Iris-setosa
5.1,3.5,1.4,0.3,0.303766357995476,9,Iris-setosa
5.7,3.8,1.7,0.3,0.2774320989586382,0,Iris-setosa
5.1,3.8,1.5,0.3,0.2886932436418904,4,Iris-setosa
5.4,3.4,1.7,0.2,0.19282568686080093,3,Iris-setosa
5.1,3.7,1.5,0.4,0.3991047061990541,11,Iris-setosa
4.6,3.6,1.0,0.2,0.20966719483386803,9,Iris-setosa
5.1,3.3,1.7,0.5,0.4895845975057622,10,Iris-setosa
4.8,3.4,1.9,0.2,0.3393931956527887,1,Iris-setosa
5.0,3.0,1.6,0.2,0.21547579053795263,0,Iris-setosa
5.0,3.4,1.6,0.4,0.40562951094404043,11,Iris-setosa
5.2,3.5,1.5,0.2,0.18683134284954572,0,Iris-setosa
5.2,3.4,1.4,0.2,0.18632868210711417,6,Iris-setosa
4.7,3.2,1.6,0.2,0.19404555887186647,1,Iris-setosa
4.8,3.1,1.6,0.2,0.21063706847437424,1,Iris-setosa
5.4,3.4,1.5,0.4,0.450986553129409,10,Iris-setosa
5.2,4.1,1.5,0.1,0.07423659683993056,1,Iris-setosa
5.5,4.2,1.4,0.2,0.19860238419528142,2,Iris-setosa
4.9,3.1,1.5,0.1,0.10657078341632942,3,Iris-setosa
5.0,3.2,1.2,0.2,0.18960737335434324,9,Iris-setosa
5.5,3.5,1.3,0.2,0.21360010006585217,9,Iris-setosa
4.9,3.1,1.5,0.1,0.10657078341632942,3,Iris-setosa
4.4,3.0,1.3,0.2,0.20575800257258492,6,Iris-setosa
5.1,3.4,1.5,0.2,0.18701276060344507,0,Iris-setosa
5.0,3.5,1.3,0.3,0.3035454086248234,11,Iris-setosa
4.5,2.3,1.3,0.3,0.22944917658552177,10,Iris-setosa
4.4,3.2,1.3,0.2,0.2079406632423615,4,Iris-setosa
5.0,3.5,1.6,0.6,0.4848920045443755,10,Iris-setosa
5.1,3.8,1.9,0.4,0.4059008245625564,3,Iris-setosa
4.8,3.0,1.4,0.3,0.2915657356628524,11,Iris-setosa
5.1,3.8,1.6,0.2,0.1538463966252287,1,Iris-setosa
4.6,3.2,1.4,0.2,0.22603451577877098,4,Iris-setosa
5.3,3.7,1.5,0.2,0.1953860802249896,0,Iris-setosa
5.0,3.3,1.4,0.2,0.1725974910857907,4,Iris-setosa
7.0,3.2,4.7,1.4,1.4031474187948345,11,Iris-versicolor
6.4,3.2,4.5,1.5,1.482784705934972,7,Iris-versicolor
6.9,3.1,4.9,1.5,1.4751958884368428,11,Iris-versicolor
5.5,2.3,4.0,1.3,1.2991369117904372,4,Iris-versicolor
6.5,2.8,4.6,1.5,1.5230917852897552,4,Iris-versicolor
5.7,2.8,4.5,1.3,1.2477063440183396,10,Iris-versicolor
6.3,3.3,4.7,1.6,1.606365700868777,7,Iris-versicolor
4.9,2.4,3.3,1.0,0.9840781207254022,7,Iris-versicolor
6.6,2.9,4.6,1.3,1.3084600041393,10,Iris-versicolor
5.2,2.7,3.9,1.4,1.4247039634621048,0,Iris-versicolor
5.0,2.0,3.5,1.0,0.9910513836232676,7,Iris-versicolor
5.9,3.0,4.2,1.5,1.499094216610041,2,Iris-versicolor
6.0,2.2,4.0,1.0,1.0298901934196054,10,Iris-versicolor
6.1,2.9,4.7,1.4,1.4390790316576063,11,Iris-versicolor
5.6,2.9,3.6,1.3,1.3509346074032036,1,Iris-versicolor
6.7,3.1,4.4,1.4,1.3787980362930283,7,Iris-versicolor
5.6,3.0,4.5,1.5,1.477467298733118,9,Iris-versicolor
5.8,2.7,4.1,1.0,1.1206449285766737,10,Iris-versicolor
6.2,2.2,4.5,1.5,1.5081519270766865,2,Iris-versicolor
5.6,2.5,3.9,1.1,1.1193261285438818,11,Iris-versicolor
5.9,3.2,4.8,1.8,1.7976677063810995,4,Iris-versicolor
6.1,2.8,4.0,1.3,1.2754098039819304,4,Iris-versicolor
6.3,2.5,4.9,1.5,1.491434004679395,9,Iris-versicolor
6.1,2.8,4.7,1.2,1.3139408136832156,10,Iris-versicolor
6.4,2.9,4.3,1.3,1.2831146625762098,9,Iris-versicolor
6.6,3.0,4.4,1.4,1.3740632544771567,7,Iris-versicolor
6.8,2.8,4.8,1.4,1.404665873314556,11,Iris-versicolor
6.7,3.0,5.0,1.7,1.7320511617058276,4,Iris-versicolor
6.0,2.9,4.5,1.5,1.481856620909725,7,Iris-versicolor
5.7,2.6,3.5,1.0,1.0061838140961306,7,Iris-versicolor
5.5,2.4,3.8,1.1,1.1109364237977666,9,Iris-versicolor
5.5,2.4,3.7,1.0,0.9589631307933428,10,Iris-versicolor
5.8,2.7,3.9,1.2,1.1955059804583938,7,Iris-versicolor
6.0,2.7,5.1,1.6,1.574684193685195,11,Iris-versicolor
5.4,3.0,4.5,1.5,1.5015192747578063,9,Iris-versicolor
6.0,3.4,4.5,1.6,1.5719118321009273,7,Iris-versicolor
6.7,3.1,4.7,1.5,1.5172385747028216,7,Iris-versicolor
6.3,2.3,4.4,1.3,1.287814740076579,7,Iris-versicolor
5.6,3.0,4.1,1.3,1.3092180752121287,9,Iris-versicolor
5.5,2.5,4.0,1.3,1.3313817284938447,4,Iris-versicolor
5.5,2.6,4.4,1.2,1.188229714138389,10,Iris-versicolor
6.1,3.0,4.6,1.4,1.4140497492056623,11,Iris-versicolor
5.8,2.6,4.0,1.2,1.1870233121165503,9,Iris-versicolor
5.0,2.3,3.3,1.0,1.0159712196850315,4,Iris-versicolor
5.6,2.7,4.2,1.3,1.309220020199394,9,Iris-versicolor
5.7,3.0,4.2,1.2,1.1871055155097674,10,Iris-versicolor
5.7,2.9,4.2,1.3,1.2804090910151342,11,Iris-versicolor
6.2,2.9,4.3,1.3,1.307166638600898,9,Iris-versicolor
5.1,2.5,3.0,1.1,1.0424343652308363,1,Iris-versicolor
5.7,2.8,4.1,1.3,1.3190869753921985,7,Iris-versicolor
6.3,3.3,6.0,2.5,2.523319221463888,0,Iris-virginica
5.8,2.7,5.1,1.9,1.893066230060006,4,Iris-virginica
7.1,3.0,5.9,2.1,2.1383538501899073,4,Iris-virginica
6.3,2.9,5.6,1.8,1.7688421665474796,11,Iris-virginica
6.5,3.0,5.8,2.2,2.1898194306981815,4,Iris-virginica
7.6,3.0,6.6,2.1,2.057221289031978,11,Iris-virginica
4.9,2.5,4.5,1.7,1.7000887233546285,4,Iris-virginica
7.3,2.9,6.3,1.8,1.8156913320552175,10,Iris-virginica
6.7,2.5,5.8,1.8,1.8218908055522443,9,Iris-virginica
7.2,3.6,6.1,2.5,2.523759608471373,0,Iris-virginica
6.5,3.2,5.1,2.0,2.0063372224503206,0,Iris-virginica
6.4,2.7,5.3,1.9,1.8944742186104835,4,Iris-virginica
6.8,3.0,5.5,2.1,2.088683193988671,2,Iris-virginica
5.7,2.5,5.0,2.0,1.9620346420422206,0,Iris-virginica
5.8,2.8,5.1,2.4,2.177089543419629,1,Iris-virginica
6.4,3.2,5.3,2.3,2.277223858628284,1,Iris-virginica
6.5,3.0,5.5,1.8,1.789856465424494,9,Iris-virginica
7.7,3.8,6.7,2.2,2.1952419415627276,11,Iris-virginica
7.7,2.6,6.9,2.3,2.309651374293086,7,Iris-virginica
6.0,2.2,5.0,1.5,1.4686661463430952,11,Iris-virginica
6.9,3.2,5.7,2.3,2.2976073963291777,0,Iris-virginica
5.6,2.8,4.9,2.0,2.0580691060956706,1,Iris-virginica
7.7,2.8,6.7,2.0,1.9267195865670605,10,Iris-virginica
6.3,2.7,4.9,1.8,1.7846608329858253,2,Iris-virginica
6.7,3.3,5.7,2.1,2.1505333701721994,4,Iris-virginica
7.2,3.2,6.0,1.8,1.7662049542468634,10,Iris-virginica
6.2,2.8,4.8,1.8,1.8346750878767624,0,Iris-virginica
6.1,3.0,4.9,1.8,1.7835167422141018,4,Iris-virginica
6.4,2.8,5.6,2.1,2.0692173341384414,4,Iris-virginica
7.2,3.0,5.8,1.6,1.6818720768286268,10,Iris-virginica
7.4,2.8,6.1,1.9,1.9059561679995594,9,Iris-virginica
7.9,3.8,6.4,2.0,1.9756868318956162,10,Iris-virginica
6.4,2.8,5.6,2.2,2.167198842210971,2,Iris-virginica
6.3,2.8,5.1,1.5,1.4340182720717387,10,Iris-virginica
6.1,2.6,5.6,1.4,1.5484620893039591,10,Iris-virginica
7.7,3.0,6.1,2.3,2.296902477679883,2,Iris-virginica
6.3,3.4,5.6,2.4,2.410701516335524,1,Iris-virginica
6.4,3.1,5.5,1.8,1.815902573734499,9,Iris-virginica
6.0,3.0,4.8,1.8,1.8127970782423348,2,Iris-virginica
6.9,3.1,5.4,2.1,2.125401008493921,0,Iris-virginica
6.7,3.1,5.6,2.4,2.466411034679888,1,Iris-virginica
6.9,3.1,5.1,2.3,2.2104048681278776,1,Iris-virginica
5.8,2.7,5.1,1.9,1.893066230060006,4,Iris-virginica
6.8,3.2,5.9,2.3,2.335316258799352,2,Iris-virginica
6.7,3.3,5.7,2.5,2.498673223673693,1,Iris-virginica
6.7,3.0,5.2,2.3,2.262766638245002,1,Iris-virginica
6.3,2.5,5.0,1.9,1.9085292047427658,0,Iris-virginica
6.5,3.0,5.2,2.0,1.9647953812791117,2,Iris-virginica
6.2,3.4,5.4,2.3,2.297616068548407,1,Iris-virginica
5.9,3.0,5.1,1.8,1.790025000389921,7,Iris-virginica
